TIMESTAMP,DATA,SENSOR
2024-10-12 23:34:38.000,0.003186226,A2
2024-10-12 23:34:38.050,-0.0001616478,A1
2024-10-12 23:34:38.050,0.003851533,A2
2024-10-12 23:34:38.100,-0.0002815723,A1
2024-10-12 23:34:38.100,0.003836632,A2
2024-10-12 23:34:38.150,-0.0007398129,A1
2024-10-12 23:34:38.150,0.003701091,A2
2024-10-12 23:34:38.200,-0.0002601147,A1
2024-10-12 23:34:38.200,0.003556848,A2
2024-10-12 23:34:38.250,-0.000338912,A1
2024-10-12 23:34:38.250,0.00328362,A2
2024-10-12 23:34:38.300,-0.0001593828,A1
2024-10-12 23:34:38.300,0.003445029,A2
2024-10-12 23:34:38.350,-0.0002872944,A1
2024-10-12 23:34:38.350,0.003747344,A2
2024-10-12 23:34:38.400,-0.0001480579,A1
2024-10-12 23:34:38.400,0.003540754,A2
2024-10-12 23:34:38.450,-0.0007401705,A1
2024-10-12 23:34:38.450,0.003103137,A2
2024-10-12 23:34:38.500,-0.0002462864,A1
2024-10-12 23:34:38.500,0.003700495,A2
2024-10-12 23:34:38.550,-0.0005934238,A1
2024-10-12 23:34:38.550,0.003241181,A2
2024-10-12 23:34:38.600,-0.0003029108,A1
2024-10-12 23:34:38.600,0.004319787,A2
2024-10-12 23:34:38.650,9.679794e-05,A1
2024-10-12 23:34:38.650,0.003459811,A2
2024-10-12 23:34:39.700,1.716614e-05,A1
2024-10-12 23:34:39.700,0.00334537,A2
2024-10-12 23:34:39.750,-0.0004683733,A1
2024-10-12 23:34:39.750,0.003570795,A2
2024-10-12 23:34:39.800,-0.0004553795,A1
2024-10-12 23:34:39.800,0.003486991,A2
2024-10-12 23:34:39.850,-4.017353e-05,A1
2024-10-12 23:34:39.850,0.003653884,A2
2024-10-12 23:34:39.900,-0.0004783869,A1
2024-10-12 23:34:39.900,0.003646493,A2
2024-10-12 23:34:39.950,-0.0006549358,A1
2024-10-12 23:34:39.950,0.003054261,A2
2024-10-12 23:34:39.000,-0.000289917,A1
2024-10-12 23:34:39.000,0.003264546,A2
2024-10-12 23:34:39.050,0.0002931356,A1
2024-10-12 23:34:39.050,0.003282666,A2
2024-10-12 23:34:39.100,-0.0005600452,A1
2024-10-12 23:34:39.100,0.003003836,A2
2024-10-12 23:34:39.150,-0.0007282495,A1
